Compound_Name,SMILE
"2,3-Diethyl-5-methylpyrazine",CCc1ncc(C)nc1CC
"2-Ethyl-3,6-dimethylpyrazine",Cc1ncc(C)nc1CC
"Methyl eugenol",COc1c(OC)cc(cc1)CC=C
"2,3-Diethylpyrazine" CCc1nccnc1CC
"2-Ethyl-3-methoxypyrazine",CCc1nccnc1OC
"2,3,5-Trimethylpyrazine",Cc1cnc(C)c(n1)C
"2-Ethyl-3-methylpyrazine",CCc1nccnc1C
"2-Isobutyl-3-methoxypyrazine",CC(C)Cc1nccnc1OC
"2-Isopropyl-3-methoxypyrazine",CC(C)c1nccnc1OC
"2-Acetyl-3-ethylpyrazine",CCc1nccnc1C(=O)C
"2-Acetyl-3-methylpyrazine",Cc1nccnc1C(=O)C
"2,6-Dimethylpyrazine",Cc1cncc(n1)C
"2-Ethyl-3,5-dimethylpyrazine",CCc1ncc(C)nc1C
